topic,evidence_1,evidence_2,label,acceptance_rate,evidence_1_stance,evidence_2_stance,evidence_1_detection_score,evidence_2_detection_score,evidence_1_id,evidence_2_id,evidence_1_wikipedia_article_name,evidence_2_wikipedia_article_name,evidence_1_wikipedia_url,evidence_2_wikipedia_url
We should legalize polygamy,"Zhirinovsky made his first proposal to legalize polygamy as early as 1993, after Kadyrov's declaration that he would introduce an amendment to legalize polygyny for all Russian citizens [REF].","On January 12, 2006, the Department of Justice (Canada) released a study, authored by three law professors at Queen's University, recommending that Canada repeal the laws that make polygamy a criminal offence [REF].",2,0.75,PRO,PRO,0.7786004543304443,0.7177801728248596,2546,2569,Polygyny,Freedom of religion in Canada,https://en.wikipedia.org/wiki/Polygyny,https://en.wikipedia.org/wiki/Freedom_of_religion_in_Canada
We should adopt open source software,"Many open-source advocates argue that open-source software is inherently safer because any person can view, edit, and change code [REF].",Raymond promotes the term open source software as a more friendly alternative for the business and corporate world [REF].,1,0.75,PRO,PRO,0.8734474182128906,0.620265007019043,3153,3150,Open-source software,Free software,https://en.wikipedia.org/wiki/Open-source_software,https://en.wikipedia.org/wiki/Free_software
We should adopt socialism,"Hayek further argued that central economic planning - a mainstay of socialism - would lead to a ""total"" state with dangerous power.",The economist John Kenneth Galbraith has criticized communal forms of socialism that promote egalitarianism in terms of wages/compensation as unrealistic in its assumptions about human motivation: .,1,0.78,CON,CON,0.6819133162498474,0.5997701287269592,3524,3520,Political philosophy,Criticisms of Marxism,https://en.wikipedia.org/wiki/Political_philosophy,https://en.wikipedia.org/wiki/Criticisms_of_Marxism
We should abolish the monarchy,"New Zealand Prime Minister John Key said: ""He believed that the monarchy was an instrument of change and can truly be seen as the architect of evolving democracy in Tonga.","The polling conducted by the Morgan Poll in May 2011 showed the support for the monarchy was now 55% (up 17% since 1999), whereas the support for a republic was at 34% (down 20%) [REF].",1,0.71,CON,CON,0.857926070690155,0.5270686745643616,4060,4055,George Tupou V,Republicanism in Australia,https://en.wikipedia.org/wiki/George_Tupou_V,https://en.wikipedia.org/wiki/Republicanism_in_Australia
We should prohibit corporal punishment,The amendment banning corporal punishment had the support of President Chen Shui-bian and Prime Minister Frank Hsieh and was passed by a wide margin in the Legislative Yuan.,"Some humans-service professionals claim that cultural norms that sanction physical punishment are one of the causes of child abuse, and have undertaken campaigns to redefine such norms [REF].",2,0.86,PRO,PRO,0.3671724200248718,0.6319666504859924,3434,3412,Corporal punishment in Taiwan,Child abuse,https://en.wikipedia.org/wiki/Corporal_punishment_in_Taiwan,https://en.wikipedia.org/wiki/Child_abuse
We should ban partial birth abortions,"In 2010, he stated, ""I support the Roe v. Wade Supreme Court decision; however, I oppose federal funding of abortions (Hyde Amendment) and support banning of so-called partial-birth abortions.""[REF]","In 1999 and 2003, Daschle voted in favor of the ban on so-called ""partial-birth abortion"",[REF][REF] and supported legislation making it a crime to harm a fetus when someone attacks a pregnant woman [REF].",1,0.71,PRO,PRO,0.7644075751304626,0.8170060515403748,72,89,Charles Bass,Tom Daschle,https://en.wikipedia.org/wiki/Charles_Bass,https://en.wikipedia.org/wiki/Tom_Daschle
We should subsidize condoms,"Some senior Catholic authorities, such as Belgian Cardinal Emeritus Godfried Danneels, believe the Catholic Church should support condoms used to prevent serious diseases such as AIDS, because non-use is tantamount to murder [REF].","Dr. Bernardo Villegas cites the work of Dr. Edward C. Green, Director of Harvard's AIDS Prevention Center to say that more condoms promote the spread of AIDS.",1,0.78,PRO,CON,0.8853585124015808,0.8423066139221191,1749,1761,Natural family planning,HIV/AIDS in the Philippines,https://en.wikipedia.org/wiki/Natural_family_planning,https://en.wikipedia.org/wiki/HIV/AIDS_in_the_Philippines
We should legalize cannabis,Proposition P made it the policy of the City of San Francisco to recommend that the State of California and the California Medical Association make cannabis available for medicinal purposes and to protect physicians from penalties for prescribing medicinal cannabis [REF].,"In their commentary, NCPIC state: ""While modest use may not lead to significant neurotoxicity, these results corroborate similar findings within the animal literature and indicate that heavy daily cannabis use over protracted periods exerts harmful effects on brain tissue and mental health"" [REF].",2,0.86,PRO,CON,0.8740560412406921,0.7565760612487793,796,815,Brownie Mary,Long-term effects of cannabis,https://en.wikipedia.org/wiki/Brownie_Mary,https://en.wikipedia.org/wiki/Long-term_effects_of_cannabis
We should legalize cannabis,"""The long term consumption of cannabis in moderate doses has no harmful effects ( .. )Cannabis is less dangerous than the opiates, amphetamines and barbiturates, and also less dangerous than alcohol.",Cannabis also has been shown to have a synergistic cytotoxic effect on lung cancer cell cultures in vitro with the food additive butylated hydroxyanisole (BHA) and possibly the related compound butylated hydroxytoluene (BHT).,1,0.78,PRO,CON,0.8048697710037231,0.3897056877613068,817,830,Wootton Report,Effects of cannabis,https://en.wikipedia.org/wiki/Wootton_Report,https://en.wikipedia.org/wiki/Effects_of_cannabis
We should adopt a zero tolerance policy in schools,Kappa Psi Kappa holds a zero tolerance policy towards hazing and adheres to an extensive Risk Management program.,"Upon her inauguration, Sirleaf promised that she would impose a ""zero tolerance"" policy on corruption within the government [REF].",1,0.9,PRO,PRO,0.2468439340591431,0.29308462142944336,1921,1938,Kappa Psi Kappa,Ellen Johnson Sirleaf,https://en.wikipedia.org/wiki/Kappa_Psi_Kappa,https://en.wikipedia.org/wiki/Ellen_Johnson_Sirleaf
We should subsidize biofuels,The study conclusion is that the net effect of biofuel production via clearing of carbon-rich habitats is to increase CO2 emissions for decades or centuries relative to fossil fuel use [REF].,Figures from the International Energy Agency (IEA) show that biomass energy provides around 30% of the total primary energy supply in developing countries; over 2 billion people depend on biomass fuels as their primary energy source [REF].,2,0.8,CON,PRO,0.8709971904754639,0.932826042175293,2036,2071,Ethanol fuel in Brazil,Biofuels by region,https://en.wikipedia.org/wiki/Ethanol_fuel_in_Brazil,https://en.wikipedia.org/wiki/Biofuels_by_region
We should further exploit geothermal energy,"The South Australian Centre for Geothermal Energy Research (SACGER) was established in 2010 as a part of state government's Renewable Energy Fund in order to promote a world class hub for practical, high priority geothermal energy research.","Aside from research in the fields of solar energy, biomass, geothermal energy, energy efficiency and new energies, an international Master of Science degree in Renewable Energy Management is being offered.",1,1.0,PRO,PRO,0.6112098097801208,0.5804451704025269,1060,1059,Energy in South Australia,University of Freiburg,https://en.wikipedia.org/wiki/Energy_in_South_Australia,https://en.wikipedia.org/wiki/University_of_Freiburg
We should further exploit hydroelectric dams,"At its point of origin, Uganda has built three hydroelectric dams which provide electricity to many citizens in Uganda and neighboring countries.",The Süreyya Bey dam and hydroelectric plant is under construction and will provide electricity and water for irrigation in the area [REF].,1,0.86,PRO,PRO,0.5594213604927063,0.3733995854854584,3004,3010,Buikwe District,Zile,https://en.wikipedia.org/wiki/Buikwe_District,https://en.wikipedia.org/wiki/Zile
We should subsidize condoms,"Armand Razafimahefa, former head of the Madagascar's Protestant Church, was quoted as saying: ""I am firmly opposed to the use of the condom as a means of fighting AIDS, because it promotes promiscuity.""[REF] .","In 2003, contrary to empirical evidence, the president of the Vatican's Pontifical Council for the Family - ""senior spokesman"" Cardinal Alfonso Lopez Trujillo - claimed that condoms are permeable to the aids virus.",1,0.71,CON,CON,0.7720954418182373,0.608909547328949,1752,1741,Religion and AIDS,Catholic Church and AIDS,https://en.wikipedia.org/wiki/Religion_and_AIDS,https://en.wikipedia.org/wiki/Catholic_Church_and_AIDS
We should legalize cannabis,"Writing in the Canadian Medical Association Journal, smoking cannabis from a pipe may significantly relieve chronic pain in patients with damaged nerves [REF].",Smaller studies have implicated cannabis use in the development of bladder cancer [REF] and testicular germ cell tumors [REF].,1,0.78,PRO,CON,0.9190701842308044,0.7391251921653748,833,863,Cannabis,Cannabis smoking,https://en.wikipedia.org/wiki/Cannabis,https://en.wikipedia.org/wiki/Cannabis_smoking
We should lower the drinking age,"Dan Wolter, a spokesman for the university, said, ""We recognize and understand that underage drinking is a big problem in our society as a whole so that is a stand that the University wanted to take.""[REF] .","MADD cited former U.S. Department of Health and Human Services Secretary Donna Shalala statement that ""maintaining the legal drinking age at 21 is a socially and medically sound policy that helps parents, schools and law enforcement protect our youth from the potentially life-threatening effects of underage drinking.""[REF] .",2,0.67,CON,CON,0.7292029857635498,0.9067056179046632,2100,2105,TCF Bank Stadium,Amethyst Initiative,https://en.wikipedia.org/wiki/TCF_Bank_Stadium,https://en.wikipedia.org/wiki/Amethyst_Initiative
We should subsidize condoms,"In 2009, Cardinal Maradiaga agreed with the Pope that condoms cannot be of any real benefit in the fight against AIDS [REF].","In 1987, Tufts University students Davin Wedel and Adam Glickman started Global Protection Corp. in response to C. Everett Koop's statement that ""a condoms can save your life.""",2,0.88,CON,PRO,0.7822619080543518,0.8503812551498413,1728,1755,Óscar Andrés Rodríguez Maradiaga,History of condoms,https://en.wikipedia.org/wiki/Óscar_Andrés_Rodríguez_Maradiaga,https://en.wikipedia.org/wiki/History_of_condoms
We should legalize prostitution,"A report produced by the Australian Institute of Criminology in May 1990 recommended that prostitution not be a criminal offence, since the current laws were ineffective and endangered sex workers.","In 1990, the Supreme Court of Canada upheld the law which bans public solicitation of prostitution, arguing that the law had the goal to abolish prostitution, which was a valid goal.",1,0.63,PRO,CON,0.8264715075492859,0.6900994181632996,1623,1609,Prostitution in Australia,Prostitution in Canada,https://en.wikipedia.org/wiki/Prostitution_in_Australia,https://en.wikipedia.org/wiki/Prostitution_in_Canada
We should ban male infant circumcision,"The authors said, ""Male circumcision provides a degree of protection against acquiring HIV infection, equivalent to what a vaccine of high efficacy would have achieved.","A meta-analysis of data from fifteen observational studies of men who have sex with men found ""insufficient evidence that male circumcision protects against HIV infection or other STIs.""[REF] .",1,0.75,CON,PRO,0.8606271743774414,0.9193456768989564,1904,1880,Circumcision and HIV,Circumcision,https://en.wikipedia.org/wiki/Circumcision_and_HIV,https://en.wikipedia.org/wiki/Circumcision
We should introduce universal health care,"The trade union center also supported universal health care, and gave an important early boost to modern efforts to pass federal legislation on the issue [REF].","A proponent of Obama's healthcare bill, Turner has said: ""We're the only first world country that doesn't have universal healthcare and it's a disgrace.""[REF] .",2,0.71,PRO,PRO,0.5720941424369812,0.5628218650817871,3342,3312,Alliance for Labor Action,Ted Turner,https://en.wikipedia.org/wiki/Alliance_for_Labor_Action,https://en.wikipedia.org/wiki/Ted_Turner
We should ban male infant circumcision,"A meta-analysis of data from fifteen observational studies of men who have sex with men found ""insufficient evidence that male circumcision protects against HIV infection or other STIs.""[REF] .","Byakika-Tusiime states that available evidence satisfies six of Hill's criteria, and concludes that the results of her analysis ""provide unequivocal evidence that circumcision plays a causal role in reducing the risk of HIV infection among men.""[REF]",1,0.78,PRO,CON,0.9193456768989564,0.9099786281585692,1880,1893,Circumcision,Medical analysis of circumcision,https://en.wikipedia.org/wiki/Circumcision,https://en.wikipedia.org/wiki/Medical_analysis_of_circumcision
We should subsidize biofuels,"Brazil's Environment Minister, Izabella Teixeira, claims that ""biofuel production in Brazil is driven by public policies that seek to increase its production in a sustainable manner, conserving nature, creating jobs and sharing the benefits among the population"" [REF].",The study conclusion is that the net effect of biofuel production via clearing of carbon-rich habitats is to increase CO2 emissions for decades or centuries relative to fossil fuel use [REF].,1,0.75,PRO,CON,0.8361221551895142,0.8709971904754639,2072,2036,Environmental governance in Brazil,Ethanol fuel in Brazil,https://en.wikipedia.org/wiki/Environmental_governance_in_Brazil,https://en.wikipedia.org/wiki/Ethanol_fuel_in_Brazil
We should legalize prostitution,The PRC rejects the argument that prostitution is an unremarkable transaction between consenting individuals and that prohibition laws constitute a violation of civil liberties.,"In 1990, the Supreme Court of Canada upheld the law which bans public solicitation of prostitution, arguing that the law had the goal to abolish prostitution, which was a valid goal.",1,0.6,PRO,CON,0.849384069442749,0.6900994181632996,1579,1609,Prostitution in the People's Republic of China,Prostitution in Canada,https://en.wikipedia.org/wiki/Prostitution_in_the_People's_Republic_of_China,https://en.wikipedia.org/wiki/Prostitution_in_Canada
We should further exploit wind power,"In September 2007, former Prime Minister Helen Clark announced a national target of 90 percent renewable electricity by 2025, with wind energy to make up much of that increase [REF].","At the end of 2011, wind power in the People's Republic of China accounted for 62,000 megawatts (MW) of electricity generating capacity,[REF] and China has identified wind power as a key growth component of the country's economy [REF].",1,0.67,PRO,PRO,0.8706600069999695,0.8681120276451111,1275,1243,Renewable energy in New Zealand,Wind power in the People's Republic of China,https://en.wikipedia.org/wiki/Renewable_energy_in_New_Zealand,https://en.wikipedia.org/wiki/Wind_power_in_the_People's_Republic_of_China
We should adopt vegetarianism,"Nicholas Stern, the author of the 2006 Stern Review on climate change has stated ""people will need to turn vegetarian if the world is to conquer climate change"" [REF].","Schopenhauer's views on animal rights stopped short of advocating vegetarianism, arguing that, so long as an animal's death was quick, men would suffer more by not eating meat than animals would suffer by being eaten.",1,1.0,PRO,CON,0.8316208720207214,0.6759892702102661,3938,3945,Atmospheric methane,History of animal rights,https://en.wikipedia.org/wiki/Atmospheric_methane,https://en.wikipedia.org/wiki/History_of_animal_rights
We should further exploit wind turbines,"The project, created by the local Gorona del Viento El Hierro consortium with financial aid from the European Union, will construct five wind turbines of type E-70 capable of producing 11.5 megawatts of wind power to supply electricity for approximately 11,000 residents, an additional number of tourists, and three water desalination facilities.","In the United States, an unofficial non-peer-reviewed estimate by a U.S. Fish & Wildlife Service (USFWS) scientist in 2009 claimed that wind turbines kill 440,000 birds per year, with future mortality expected to increase significantly as wind power generation expands by 2030 to levels about 12 times higher than 2009 levels [REF].",2,0.88,PRO,CON,0.5090318918228149,0.9404011964797974,1497,1526,El Hierro,Environmental impact of wind power,https://en.wikipedia.org/wiki/El_Hierro,https://en.wikipedia.org/wiki/Environmental_impact_of_wind_power
We should subsidize condoms,"The Church maintains that countries like Kenya where behavioral changes like abstinence are endorsed instead of condom use, are experiencing greater progress towards controlling the disease than those countries just promoting condoms [REF].","Armand Razafimahefa, former head of the Madagascar's Protestant Church, was quoted as saying: ""I am firmly opposed to the use of the condom as a means of fighting AIDS, because it promotes promiscuity.""[REF] .",1,0.71,CON,CON,0.8328314423561096,0.7720954418182373,1777,1752,Criticism of the Catholic Church,Religion and AIDS,https://en.wikipedia.org/wiki/Criticism_of_the_Catholic_Church,https://en.wikipedia.org/wiki/Religion_and_AIDS
We should ban partial birth abortions,NARAL endorsed Sestak in the 2010 Democratic primary over Specter because of Sestak's opposition to a ban on partial birth abortion [REF].,"During his term, Sodrel expressed strong pro-life opinions and opposed partial-birth abortions and federal funding for elective abortions.",2,0.75,CON,PRO,0.7023003101348877,0.5953294634819031,92,98,Joe Sestak,Mike Sodrel,https://en.wikipedia.org/wiki/Joe_Sestak,https://en.wikipedia.org/wiki/Mike_Sodrel
We should adopt open source software,"The ISA also supports Gelato, an Itanium HPC user group and developer community that ports and supports open source software for Itanium [REF].","Companies that offer open source software are able to establish an industry standard and, thus, gain competitive advantage .",2,0.71,PRO,PRO,0.30298614501953125,0.2566991150379181,3139,3156,Itanium,Open-source software,https://en.wikipedia.org/wiki/Itanium,https://en.wikipedia.org/wiki/Open-source_software
We should further exploit geothermal energy,"Anti-nuclear groups also favour the use of renewable energy, such as wind power, solar power, geothermal energy and biofuel [REF].","President Ólafur strongly advocates the use of geothermal energy, which is renewable, economically viable and reliable resource, as proven convincingly by the case of Iceland.",2,0.7,PRO,PRO,0.6523556709289551,0.817374050617218,1065,1043,Anti-nuclear movement,Ólafur Ragnar Grímsson,https://en.wikipedia.org/wiki/Anti-nuclear_movement,https://en.wikipedia.org/wiki/Ólafur_Ragnar_Grímsson
We should adopt vegetarianism,"A 21 year follow up of about thirty thousand Seventh Day Adventists (adventists are known for presenting a ""health message"" that recommends vegetarianism) found that people who ate red meat daily were 60% more likely to die of heart disease than those who ate red meat less than once per week [REF].","Although she had separated from McCartney, Mills said: ""It's only since I met Paul [McCartney] that I really got to understand how vegetarianism not only benefits your health massively but also makes a huge difference to the planet, to animals, and to feeding the world"" [REF].",1,1.0,PRO,PRO,0.8555008769035339,0.7583504915237427,3926,3939,Red meat,Heather Mills,https://en.wikipedia.org/wiki/Red_meat,https://en.wikipedia.org/wiki/Heather_Mills
Sex education should be mandatory,McCain is against federal funding of birth control and sex education; his opposition included a vote against spending $100 million to reduce teen pregnancy by education and contraceptives [REF].,"A coordinated program between UNDP, UNICEF, and the ministries of health and education promotes sexual education at a larger scale in rural areas and spreads awareness of the dangers of female genital cutting.",2,1.0,CON,PRO,0.5698096752166748,0.7604541778564453,934,959,Political positions of John McCain,Sex education,https://en.wikipedia.org/wiki/Political_positions_of_John_McCain,https://en.wikipedia.org/wiki/Sex_education
We should further exploit geothermal energy,"In cooperation with the Wyoming Business Council, the Converse Area New Development Organization drafted an initiative to advance geothermal energy development in Wyoming.","In 1991, Indonesia Geothermal Association (Asosiasi Panasbumi Indonesia - API), a non-governmental organisation, was established to promote geothermal energy.",1,0.8,PRO,PRO,0.5442230105400085,0.4198921322822571,1063,1073,Climate change in Wyoming,Geothermal power in Indonesia,https://en.wikipedia.org/wiki/Climate_change_in_Wyoming,https://en.wikipedia.org/wiki/Geothermal_power_in_Indonesia
We should subsidize biofuels,In 2008 a critical report by the Royal Society stated that biofuels risk failing to deliver significant reductions in greenhouse gas emissions from transport and could even be environmentally damaging unless the Government puts the right policies in place [REF].,"Researchers at the Overseas Development Institute have argued that biofuels could help to reduce poverty in the developing world, through increased employment, wider economic growth multipliers and by stabilising oil prices (many developing countries are net importers of oil) [REF].",2,0.63,CON,PRO,0.9096725583076476,0.9540693759918212,2089,2019,Biofuels by region,Issues relating to biofuels,https://en.wikipedia.org/wiki/Biofuels_by_region,https://en.wikipedia.org/wiki/Issues_relating_to_biofuels
We should legalize cannabis,"""The long term consumption of cannabis in moderate doses has no harmful effects ( .. )Cannabis is less dangerous than the opiates, amphetamines and barbiturates, and also less dangerous than alcohol.","Francis L. Young, an administrative law judge with the United States Drug Enforcement Agency declared in 1988 that, ""in its natural form, [cannabis] is one of the safest therapeutically active substances known.""[REF]",2,0.75,PRO,PRO,0.8048697710037231,0.7716102004051208,817,842,Wootton Report,Medical cannabis in the United States,https://en.wikipedia.org/wiki/Wootton_Report,https://en.wikipedia.org/wiki/Medical_cannabis_in_the_United_States
We should legalize polygamy,Sudanese President Omar Hassan al-Bashir has encouraged multiple marriages to increase the population [REF].,"Israel, in accordance with Western ethics, has made polygamy illegal [REF].",1,0.63,PRO,CON,0.6794291138648987,0.1930398792028427,2553,2538,Polygamy,Polygamy,https://en.wikipedia.org/wiki/Polygamy,https://en.wikipedia.org/wiki/Polygamy
We should further exploit geothermal energy,"According to the Renewable Energy Transmission Initiative, east San Diego County, along with neighboring Imperial County and Northern Baja California, has a potential aggregate generating capacity of roughly 6,870 megawatts (MW) for solar energy, 3,495 MW for wind power and 2,000 MW for geothermal energy.","In 1979 the U.S. Department of Energy (DOE) actively promoted development of geothermal energy in the Geysers-Calistoga Known Geothermal Resource Area ( KGRA) near Calistoga, California through a variety of research programs and the Geothermal Loan Guarantee Program.",2,0.6,PRO,PRO,0.6888957619667053,0.4283512234687805,1076,1046,Sunrise Powerlink,Geyser,https://en.wikipedia.org/wiki/Sunrise_Powerlink,https://en.wikipedia.org/wiki/Geyser
We should prohibit hydraulic fracturing,"Dr. Anthony Ingraffea, D. C. Baum Professor of Engineering at Cornell University, whose research has involved fracture mechanics for more than 30 years, has said that drilling and hydraulic fracturing can liberate biogenic natural gas into a fresh water aquifer.","The NYC Dept. of Environmental Protection's position: ""While DEP is mindful of the potential economic opportunity that this represents for the State, hydraulic fracturing poses an unacceptable threat to the unfiltered water supply of nine million New Yorkers and cannot safely be permitted with the New York City watershed.""[REF] .",2,0.78,PRO,PRO,0.7649696469306946,0.7514556050300598,2682,2695,Gasland,Hydraulic fracturing in the United States,https://en.wikipedia.org/wiki/Gasland,https://en.wikipedia.org/wiki/Hydraulic_fracturing_in_the_United_States
We should introduce school vouchers,"In 2006, the Court struck down a law passed by the Florida State Legislature that had created the United States' first statewide education voucher program.","When drop-out rates and test scores showed little improvement, Johnson changed his tactics and began advocating for school vouchers - a key issue in budget battles of his second term [REF].",1,0.67,CON,PRO,0.5252106189727783,0.4130633175373077,2733,2760,Lawton Chiles,Gary Johnson,https://en.wikipedia.org/wiki/Lawton_Chiles,https://en.wikipedia.org/wiki/Gary_Johnson
